evaluations,WPT,PSO,GA
3231,45527356.511640586,42836533.73514979,38587678.19492919
3310,45527356.511640586,42836533.73514979,38587678.19492919
3389,45527356.511640586,42836533.73514979,38581061.4799359
3468,45527356.511640586,42836533.73514979,38570955.122642815
3547,45527356.511640586,42836533.73514979,38570955.122642815
3625,45527356.511640586,42836533.73514979,38552851.51791067
3704,45527356.511640586,42836533.73514979,38454365.1553324
3783,45527356.511640586,42836533.73514979,38454094.09049842
3862,45527356.511640586,42836533.73514979,38453945.41983563
3941,45527356.511640586,42836533.73514979,38453945.41983563
4020,45527356.511640586,42836533.73514979,38452548.25795473
4098,45527356.511640586,42836533.73514979,38398138.760533996
4177,45527356.511640586,42836533.73514979,38192284.37563833
4256,45527356.511640586,42836533.73514979,38094696.23301056
4335,45527356.511640586,42836533.73514979,37998490.49840027
4414,45527356.511640586,42836533.73514979,37952539.79794419
4493,45527347.61169757,42836533.73514979,37952461.904768415
4571,45527347.61169757,42836533.73514979,37949882.579806864
4650,45527347.61169757,42836533.73514979,37949882.579806864
4729,45527347.61169757,42836533.73514979,37949840.18102085
4808,45527347.61169757,42836533.73514979,37949840.18102085
4887,45527347.61169757,42836533.73514979,37948397.557290055
4965,45527347.61169757,42836533.73514979,37948397.557290055
5044,45527347.61169757,42836533.73514979,37918592.3207343
5123,45527347.61169757,42836533.73514979,37913683.04357391
5202,45527347.61169757,42836533.73514979,37908076.96095451
5281,45527347.61169757,42836533.73514979,37877710.145186506
5360,45527347.61169757,42836533.73514979,37876969.51241964
5438,45527347.61169757,42836533.73514979,37876969.51241964
5517,45527347.61169757,42836533.73514979,37824656.48450226
5596,45527347.61169757,42836533.73514979,37824587.35999621
5675,45527347.61169757,42836533.73514979,37824587.35999621
5754,45527347.61169757,42836533.73514979,37812365.79048128
5833,45527347.61169757,42836533.73514979,37811723.85814353
5911,45527347.61169757,42836533.73514979,37811723.85814353
5990,45527347.61169757,42836533.73514979,37811723.85814353
6069,45527347.61169757,42836533.73514979,37806334.31660775
6148,45527347.61169757,42836533.73514979,37782759.62347815
6227,45527347.61169757,42836533.73514979,37782210.710311346
6306,45527347.61169757,42836533.73514979,37782210.710311346
6384,45527347.61169757,42836533.73514979,37782210.710311346
6463,45527347.61169757,42836533.73514979,37782210.710311346
6542,45294922.96939049,42836533.73514979,37782210.710311346
6621,45294922.96939049,42836533.73514979,37782210.710311346
6700,45294922.96939049,42836533.73514979,37782210.710311346
6778,45294922.96939049,42836533.73514979,37771245.404901594
6857,45294459.67201064,42836533.73514979,37771245.404901594
6936,45294459.67201064,42836533.73514979,37771245.404901594
7015,45294459.67201064,42836533.73514979,37737221.58616014
7094,45294459.67201064,42836533.73514979,37709925.73859863
7173,45294459.67201064,42836533.73514979,37708720.9285445
7251,45294459.67201064,42836533.73514979,37708720.9285445
7330,45294459.67201064,42836533.73514979,37708720.9285445
7409,45294459.67201064,42836533.73514979,37680749.846039474
7488,45294459.67201064,42836533.73514979,37674390.23032137
7567,45294459.67201064,42836533.73514979,37664951.81612468
7646,45294459.67201064,42836533.73514979,37664951.81612468
7724,45294459.67201064,42836533.73514979,37664951.81612468
7803,45294459.67201064,42836533.73514979,37664951.81612468
7882,45294459.67201064,42836533.73514979,37664563.45516512
7961,45294459.67201064,42836533.73514979,37663610.67269288
8040,45294459.67201064,42836533.73514979,37663304.90524013
8118,45294459.67201064,42836533.73514979,37662231.73382137
8197,45294459.67201064,42836533.73514979,37662231.73382137
8276,45294459.67201064,42836533.73514979,37662231.73382137
8355,45293909.15087808,42836533.73514979,37662231.73382137
8434,45293909.15087808,42836533.73514979,37662231.73382137
8513,45293909.15087808,42836533.73514979,37662231.73382137
8591,45293909.15087808,42836533.73514979,37662231.73382137
8670,45293909.15087808,42836533.73514979,37636212.63161416
8749,45293909.15087808,42836533.73514979,37636212.63161416
8828,45293909.15087808,42836533.73514979,37610012.43955736
8907,45293909.15087808,42836533.73514979,37610012.43955736
8986,45293909.15087808,42836533.73514979,37606823.84726145
9064,45293909.15087808,42836533.73514979,37606179.89114838
9143,45293909.15087808,42836533.73514979,37606179.89114838
9222,45293909.15087808,42836533.73514979,37606179.89114838
9301,45293909.15087808,42836533.73514979,37595169.17346865
9380,45293909.15087808,42836533.73514979,37594320.01318141
9459,45293909.15087808,42836533.73514979,37594320.01318141
9537,45293909.15087808,42836533.73514979,37594320.01318141
9616,45293909.15087808,42836533.73514979,37594320.01318141
9695,45293909.15087808,42836533.73514979,37594320.01318141
9774,45293909.15087808,42836533.73514979,37594320.01318141
9853,45293909.15087808,42836533.73514979,37594002.71597819
9931,45293909.15087808,42836533.73514979,37594002.71597819
10010,45293909.15087808,42836533.73514979,37594002.71597819
10089,45293909.15087808,42836533.73514979,37594002.71597819
10168,45293909.15087808,42836533.73514979,37593774.989582725
10247,45293909.15087808,42836533.73514979,37593774.989582725
10326,45293909.15087808,42836533.73514979,37593774.989582725
10404,45293909.15087808,42836533.73514979,37593774.989582725
10483,45293909.15087808,42836533.73514979,37593414.97588662
10562,45293909.15087808,42836533.73514979,37593252.26005065
10641,45293909.15087808,42836533.73514979,37572914.808265224
10720,45293909.15087808,42836533.73514979,37472591.41422632
10799,45293909.15087808,42836533.73514979,37472591.41422632
10877,45293909.15087808,42836533.73514979,37472591.41422632
10956,45293909.15087808,42836533.73514979,37472591.41422632
11035,45293909.15087808,42836533.73514979,37392206.60513455
11114,45293909.15087808,42836533.73514979,37392206.60513455
11193,45293909.15087808,42836533.73514979,37391609.41899638
11271,45293909.15087808,42836533.73514979,37360479.18170429
11350,45293909.15087808,42836533.73514979,37360479.18170429
11429,45293909.15087808,42836533.73514979,37360479.18170429
11508,45293909.15087808,42836533.73514979,37360479.18170429
11587,45293909.15087808,42836533.73514979,37359406.09801913
11666,45293909.15087808,42836533.73514979,37359406.09801913
11744,45293909.15087808,42836533.73514979,37358883.060064614
11823,45293909.15087808,42836533.73514979,37358883.060064614
11902,45293909.15087808,42836533.73514979,37358111.677014686
11981,45293909.15087808,42836533.73514979,37355148.843299486
12060,45293909.15087808,42836533.73514979,37355148.843299486
12139,45293909.15087808,42836533.73514979,37355148.843299486
12217,45293909.15087808,42836533.73514979,37355148.843299486
12296,45293909.15087808,42836533.73514979,37355148.843299486
12375,45293909.15087808,42836533.73514979,37355148.843299486
12454,45293909.15087808,42836533.73514979,37355148.843299486
12533,45293909.15087808,42836533.73514979,37355148.843299486
12612,45293909.15087808,42836533.73514979,37355148.843299486
12690,45293909.15087808,42836533.73514979,37355148.843299486
12769,45293909.15087808,42836533.73514979,37355148.843299486
12848,45293909.15087808,42836533.73514979,37355148.843299486
12927,45293909.15087808,42836533.73514979,37355068.621080115
13006,45293909.15087808,42836533.73514979,37355068.621080115
13084,45293909.15087808,42836533.73514979,37347411.63067445
13163,45293909.15087808,42836533.73514979,37347411.63067445
13242,45293909.15087808,42836533.73514979,37347411.63067445
13321,45293909.15087808,42836533.73514979,37343647.22346718
13400,45293909.15087808,42836533.73514979,37342352.31014421
13479,45293909.15087808,42836533.73514979,37342352.31014421
13557,45293909.15087808,42836533.73514979,37342352.31014421
13636,45293909.15087808,42836533.73514979,37342352.31014421
13715,45293909.15087808,42836533.73514979,37342352.31014421
13794,45293909.15087808,42836533.73514979,37342352.31014421
13873,45293909.15087808,42836533.73514979,37342352.31014421
13952,45293909.15087808,42836533.73514979,37342352.31014421
14030,45293909.15087808,42836533.73514979,37342352.31014421
14109,45293909.15087808,42836533.73514979,37342352.31014421
14188,45293909.15087808,42836533.73514979,37342352.31014421
14267,45293909.15087808,42836533.73514979,37342352.31014421
14346,45293909.15087808,42836533.73514979,37342352.31014421
14424,45293909.15087808,42836533.73514979,37342352.31014421
14503,45293909.15087808,42836533.73514979,37342352.31014421
14582,44796406.80428023,42836533.73514979,37342352.31014421
14661,44796406.80428023,42836533.73514979,37342352.31014421
14740,44796406.80428023,42836533.73514979,37342352.31014421
14819,44796406.80428023,42836533.73514979,37342352.31014421
14897,44796406.80428023,42836533.73514979,37342352.31014421
14976,44796406.80428023,42836533.73514979,37342352.31014421
15055,44796406.80428023,42836533.73514979,37342352.31014421
15134,44796406.80428023,42836533.73514979,37342352.31014421
15213,44796406.80428023,42836533.73514979,37342352.31014421
15292,44796406.80428023,42836533.73514979,37342352.31014421
15370,44796406.80428023,42836533.73514979,37342352.31014421
15449,44796406.80428023,42836533.73514979,37342352.31014421
15528,44796406.80428023,42836533.73514979,37342352.31014421
15607,44796406.80428023,42836533.73514979,37342352.31014421
15686,44796406.80428023,42836533.73514979,37342352.31014421
15765,44796406.80428023,42836533.73514979,37342352.31014421
