evaluations,WPT,PSO,GA
5833,2693910.3060850175,2461488.099446241,2210221.723182755
5911,2693910.3060850175,2461488.099446241,2210221.723182755
5990,2693910.3060850175,2461488.099446241,2210221.723182755
6069,2693910.3060850175,2461488.099446241,2210221.723182755
6148,2693910.3060850175,2461488.099446241,2210221.723182755
6227,2693910.3060850175,2461488.099446241,2210221.723182755
6306,2693910.3060850175,2461488.099446241,2210221.723182755
6384,2693910.3060850175,2461488.099446241,2210221.723182755
6463,2693910.3060850175,2461488.099446241,2210221.723182755
6542,2693910.3060850175,2461488.099446241,2210221.723182755
6621,2693910.3060850175,2461488.099446241,2210221.723182755
6700,2693910.3060850175,2461488.099446241,2210221.723182755
6778,2693910.3060850175,2461488.099446241,2210221.723182755
6857,2592968.2292054496,2461488.099446241,2210221.723182755
6936,2592968.2292054496,2461488.099446241,2210221.723182755
7015,2592968.2292054496,2461488.099446241,2210221.723182755
7094,2592968.2292054496,2461488.099446241,2210221.723182755
7173,2592968.2292054496,2461488.099446241,2210221.723182755
7251,2592968.2292054496,2461488.099446241,2210221.723182755
7330,2592968.2292054496,2461488.099446241,2210221.723182755
7409,2592968.2292054496,2461488.099446241,2210221.723182755
7488,2592968.2292054496,2461488.099446241,2210221.723182755
7567,2592968.2292054496,2461488.099446241,2170550.8981500855
7646,2592968.2292054496,2461488.099446241,2158021.9288355084
7724,2588643.2901405124,2461488.099446241,2149089.2411892884
7803,2588643.2901405124,2461488.099446241,2149089.2411892884
7882,2588643.2901405124,2461488.099446241,2149089.2411892884
7961,2588643.2901405124,2461488.099446241,2149089.2411892884
8040,2588643.2901405124,2461488.099446241,2149089.2411892884
8118,2588643.2901405124,2461488.099446241,2149089.2411892884
8197,2588643.2901405124,2461488.099446241,2149089.2411892884
8276,2588643.2901405124,2461488.099446241,2149089.2411892884
8355,2588643.2901405124,2461488.099446241,2109078.95358433
8434,2588643.2901405124,2461488.099446241,2106550.95870346
8513,2588643.2901405124,2461488.099446241,2106550.95870346
8591,2588643.2901405124,2461488.099446241,2106550.95870346
8670,2588643.2901405124,2461488.099446241,2106550.95870346
8749,2588643.2901405124,2461488.099446241,2106550.95870346
8828,2588643.2901405124,2461488.099446241,2106550.95870346
8907,2588643.2901405124,2461488.099446241,2106550.95870346
8986,2588643.2901405124,2461488.099446241,2106550.95870346
9064,2588643.2901405124,2461488.099446241,2106550.95870346
9143,2588643.2901405124,2461488.099446241,2106550.95870346
9222,2544266.4237060207,2461488.099446241,2106550.95870346
9301,2544266.4237060207,2461488.099446241,2106550.95870346
9380,2544266.4237060207,2461488.099446241,2106550.95870346
9459,2544266.4237060207,2461488.099446241,2106550.95870346
9537,2544266.4237060207,2461488.099446241,2106550.95870346
9616,2544266.4237060207,2461488.099446241,2106550.95870346
9695,2544266.4237060207,2461488.099446241,2106550.95870346
9774,2544266.4237060207,2461488.099446241,2106550.95870346
9853,2544266.4237060207,2461488.099446241,2106550.95870346
9931,2544266.4237060207,2461488.099446241,2106550.95870346
10010,2544266.4237060207,2461488.099446241,2106550.95870346
10089,2544266.4237060207,2461488.099446241,2106550.95870346
10168,2544266.4237060207,2461488.099446241,2106550.95870346
10247,2544266.4237060207,2461488.099446241,2106550.95870346
10326,2544266.4237060207,2461488.099446241,2106550.95870346
10404,2544266.4237060207,2461488.099446241,2106550.95870346
