evaluations,WPT,PSO,GA
464640,6706083.356509377,6693374.907942158,5677651.296633347
469065,6706083.356509377,6693374.907942158,5677570.062592811
473491,6706083.356509377,6693374.907942158,5677570.062592811
477916,6706083.356509377,6693374.907942158,5677570.062592811
482341,6706083.356509377,6693374.907942158,5677570.062592811
486766,6706083.356509377,6693374.907942158,5677570.062592811
491191,6706083.356509377,6693374.907942158,5677570.062592811
495616,6706083.356509377,6693374.907942158,5677570.062592811
500041,6706083.356509377,6693374.907942158,5677570.062592811
504467,6706083.356509377,6693374.907942158,5677511.50455339
508892,6706083.356509377,6693374.907942158,5677511.50455339
513317,6706083.356509377,6693374.907942158,5677441.642871939
517742,6706083.356509377,6693374.907942158,5661209.256999002
522167,6706083.356509377,6693374.907942158,5660907.935304594
526592,6706083.356509377,6693374.907942158,5660907.935304594
531018,6706083.356509377,6693374.907942158,5660907.935304594
535443,6706083.356509377,6693374.907942158,5660907.935304594
539868,6706083.356509377,6693374.907942158,5660907.935304594
544293,6706083.356509377,6693374.907942158,5660907.935304594
548718,6706083.356509377,6693374.907942158,5660907.935304594
553143,6706083.356509377,6693374.907942158,5660907.935304594
557568,6706083.356509377,6693374.907942158,5660907.935304594
561994,6706083.356509377,6693374.907942158,5660907.935304594
566419,6706083.356509377,6693374.907942158,5660907.935304594
570844,6706083.356509377,6693374.907942158,5660907.935304594
575269,6706083.356509377,6693374.907942158,5660907.935304594
579694,6706083.356509377,6693374.907942158,5660907.935304594
584119,6706083.356509377,6693374.907942158,5660907.935304594
588544,6706083.356509377,6693374.907942158,5660907.935304594
592970,6706083.356509377,6693374.907942158,5660907.935304594
597395,6706083.356509377,6693374.907942158,5660907.935304594
601820,6706083.356509377,6693374.907942158,5660907.935304594
606245,6706083.356509377,6693374.907942158,5660907.935304594
610670,6706083.356509377,6693374.907942158,5660831.815132989
615095,6706083.356509377,6693374.907942158,5660831.815132989
619521,6706083.356509377,6693374.907942158,5660831.815132989
623946,6706083.356509377,6693374.907942158,5660831.815132989
628371,6706083.356509377,6693374.907942158,5660831.815132989
632796,6706083.356509377,6693374.907942158,5660831.815132989
637221,6706083.356509377,6693374.907942158,5660831.815132989
641646,6706083.356509377,6693374.907942158,5660831.815132989
646071,6706083.356509377,6693374.907942158,5660831.815132989
650497,6706083.356509377,6693374.907942158,5660831.815132989
654922,6706083.356509377,6693374.907942158,5660831.815132989
659347,6706083.356509377,6693374.907942158,5637441.7258475805
663772,6706083.356509377,6693374.907942158,5637300.380968354
668197,6706083.356509377,6693374.907942158,5637300.380968354
672622,6706083.356509377,6693374.907942158,5637178.976873449
677047,6706083.356509377,6693374.907942158,5637155.922656251
681473,6706083.356509377,6693374.907942158,5637155.922656251
685898,6706083.356509377,6693374.907942158,5637155.922656251
