algorithm,level,instance,run,best_fitness,elapsed_sec,n_evals
WPT,simple,1,2,30221.855225354455,186.6679606250002,877309
PSO,simple,1,2,30221.855225354455,189.084686917,885030
GA,simple,1,1,30221.855225354455,204.91684387500004,826030
GA,simple,1,2,30221.855225354455,205.6558470829998,826030
PSO,simple,2,0,414145.53248440794,239.90429037499985,885030
PSO,simple,2,1,414145.53248440794,238.8678138329999,885030
WPT,simple,2,0,412684.92901180615,270.32737358300005,884930
GA,simple,2,0,387535.97643526935,263.966882917,826030
PSO,simple,2,2,435528.3902886561,246.49535995799988,885030
GA,simple,2,1,387535.97643526935,262.40332579200003,826030
WPT,simple,2,1,401571.92732753744,268.31811766600003,884930
WPT,simple,2,2,407757.12676324754,268.0561775419999,884930
PSO,simple,3,0,418541.2652628795,239.60787849999997,885030
GA,simple,2,2,401571.92732753744,258.67546845800007,826030
WPT,simple,3,0,397259.04313829594,270.88034854199987,884930
GA,simple,3,0,350036.1151436052,254.23370750000004,826030
PSO,simple,3,1,409177.43177172885,231.29736891700009,885030
WPT,simple,3,1,394053.4612929692,265.016085708,884930
GA,simple,3,1,350036.1151436052,249.21784420799986,826030
PSO,simple,4,0,208693.8032990132,220.26720829099986,885030
WPT,simple,4,0,178172.90291735312,241.39616395899998,884930
PSO,simple,3,2,392632.99590162165,249.98209704200008,885030
GA,simple,3,2,350036.1151436052,247.74246541699995,826030
GA,simple,4,0,178172.90291735312,236.38624512499973,826030
PSO,simple,4,1,178172.90291735312,222.70860741700017,885030
WPT,simple,4,1,178315.48903742692,243.569664375,884930
WPT,simple,3,2,358725.7240261034,269.37434995800004,884930
GA,simple,4,1,203844.9907508974,226.90206000000012,826030
PSO,simple,4,2,178172.90291735312,231.3628381249996,885030
PSO,simple,5,1,141735.57172117507,208.45826612500014,885030
WPT,simple,4,2,178315.48903742692,255.5749537920001,884930
PSO,simple,5,0,147034.4964578885,220.73688941699993,885030
WPT,simple,5,0,141735.57172117507,232.25972249999995,884930
GA,simple,5,0,141735.57172117507,220.54266962500014,826030
PSO,simple,5,2,141735.57172117507,207.98014708400024,885030
GA,simple,4,2,193993.6245346529,242.68789008300018,826030
WPT,simple,5,1,141735.57172117507,230.40676758300015,884930
GA,simple,5,1,141735.57172117507,226.18699158299978,826030
WPT,simple,5,2,141735.57172117507,232.52640574999987,884930
GA,simple,5,2,141735.57172117507,226.57664924999972,826030
